;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,,,
;,Last modified:,,08/03/26 - SAC,,,,,,,,,
;,,,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,,,
;,,,,,,,,,,,,
;,Mod history:,,"08/03/26 - SAC - added new AOSmith, Laars, Nyle & Watts (and placeholder Rheem) models -AND- CHPWHCompTypeRpt column (to avoid having to edit rule logic for each added CHPWH) (dev #965)",,,,,,,,,
;,,,03/04/26 - SAC - added new IceAir models (dev #736),,,,,,,,,
;,,,12/18/24 - SAC - added new compressor type: Mitsubishi QAHV-N136TAU-HPB  (40kW cap @ 40F),,,,,,,,,
;,,,02/23/22 - SAC - added Nyle multi pass compressor types,,,,,,,,,
;,,,02/03/22 - SAC - updated Colmac CxV-5 compressor OutputCap from 10 to 14 kW,,,,,,,,,
;,,,01/18/22 - SAC - added multi pass compressor types,,,,,,,,,
;,,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,,,
;,,,,,,,,,,,,
;,Independents:,,,,,,,,CSE Simulation Compressor Types,,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,,TypeID,Name,OutputCap,
;,,,,,,,,,48,Colmac CxV-5,14,
;,Dependents:,,,,,,,,49,Colmac CxA-10,21,
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,,50,Colmac CxA-15,29,
;,,,,,,,,,45,Colmac CxA-20,41,
;,,,,,,,,,51,Colmac CxA-25,49,
,TABLE T24RCHPWHCompressor,,,,,,,,52,Colmac CxA-30,57,
,,CHPWHCompType,OutputCap,CHPWHCompTypeRpt,,old name,new name,,53,Nyle C25A,5,
,,268,20,AOSmithAHPA90C,;,A. O. Smith AHPA-90-*-***C****,A. O. Smith AHPA-90-*-***C****  (20kW cap @ 40F),,,,,
,,269,26,AOSmithAHPA125C,;,A. O. Smith AHPA-125-*-***C****,A. O. Smith AHPA-125-*-***C****  (26kW cap @ 40F),,,,,
,,270,40,AOSmithAHPA185C,;,A. O. Smith AHPA-185-*-***C****,A. O. Smith AHPA-185-*-***C****  (40kW cap @ 40F),,,,,
,,271,45,AOSmithAHPA250C,;,A. O. Smith AHPA-250-*-***C****,A. O. Smith AHPA-250-*-***C****  (45kW cap @ 40F),,,,,
,,367,11,StateSHPA60C,;,State SHPA-60-*-***C****,State SHPA-60-*-***C****  (11kW cap @ 40F),,,,,
,,368,20,StateSHPA90C,;,State SHPA-90-*-***C****,State SHPA-90-*-***C****  (20kW cap @ 40F),,,,,
,,369,26,StateSHPA125C,;,State SHPA-125-*-***C****,State SHPA-125-*-***C****  (26kW cap @ 40F),,,,,
,,370,40,StateSHPA185C,;,State SHPA-185-*-***C****,State SHPA-185-*-***C****  (40kW cap @ 40F),,,,,
,,371,45,StateSHPA250C,;,State SHPA-250-*-***C****,State SHPA-250-*-***C****  (45kW cap @ 40F),,,,,
,,77,14,ColmacCxV5MP,;,Colmac CxV-5 (MP),"Colmac CxV-5 (MP, 14kW cap @ 40F)",multi pass additions - SAC 01/18/22,,,,
,,78,21,ColmacCxA10MP,;,Colmac CxA-10 (MP),"Colmac CxA-10 (MP, 21kW cap @ 40F)",,,,,
,,79,29,ColmacCxA15MP,;,Colmac CxA-15 (MP),"Colmac CxA-15 (MP, 29kW cap @ 40F)",,,,,
,,80,41,ColmacCxA20MP,;,Colmac CxA-20 (MP),"Colmac CxA-20 (MP, 41kW cap @ 40F)",,,,,
,,81,50,ColmacCxA25MP,;,Colmac CxA-25 (MP),"Colmac CxA-25 (MP, 50kW cap @ 40F)",,,,,
,,82,58,ColmacCxA30MP,;,Colmac CxA-30 (MP),"Colmac CxA-30 (MP, 58kW cap @ 40F)",,,,,
,,83,12,RheemHPHD60HNUMP,;,Rheem HPHD-60HNU (horiz MP),"Rheem HPHD-60HNU (horiz MP, 12kW cap @ 45F)",,,,,
,,84,12,RheemHPHD60VNUMP,;,Rheem HPHD-60VNU (vertical MP),"Rheem HPHD-60VNU (vertical MP, 12kW cap @ 45F)",,,,,
,,85,30,RheemHPHD135HNUMP,;,Rheem HPHD-135HNU (horiz MP),"Rheem HPHD-135HNU (horiz MP, 30kW cap @ 45F)",,,,,
,,86,30,RheemHPHD135VNUMP,;,Rheem HPHD-135VNU (vertical MP),"Rheem HPHD-135VNU (vertical MP, 30kW cap @ 45F)",,,,,
,,5,11,NyleC60AMP,;,,"Nyle C60A  (MP, 11kw cap @ 40F)   ",more multi pass options - SAC 02/23/22,,,,
,,6,20,NyleC90AMP,;,,"Nyle C90A  (MP, 20kw cap @ 40F)",,,,,
,,7,26,NyleC125AMP,;,,"Nyle C125A  (MP, 26kw cap @ 40F)",,,,,
,,8,41,NyleC185AMP,;,,"Nyle C185A  (MP, 41kw cap @ 40F)",,,,,
,,9,46,NyleC250AMP,;,,"Nyle C250A  (MP, 46kw cap @ 40F)",,,,,
,,25,11,NyleC60A_CMP,;,,"Nyle C60A-C  (MP, 11kw cap @ 40F)",,,,,
,,26,20,NyleC90A_CMP,;,,"Nyle C90A-C  (MP, 20kw cap @ 40F)",,,,,
,,27,26,NyleC125A_CMP,;,,"Nyle C125A-C  (MP, 26kw cap @ 40F)",,,,,
,,28,41,NyleC185A_CMP,;,,"Nyle C185A-C  (MP, 41kw cap @ 40F)",,,,,
,,29,46,NyleC250A_CMP,;,,"Nyle C250A-C  (MP, 46kw cap @ 40F)",,,,,
,,105,11,LochinvarAHP060MP,;,,"Lochinvar AHP060-*-***N****  (MP, 11kw cap @ 40F)",,,,,
,,106,20,LochinvarAHP090MP,;,,"Lochinvar AHP090-*-***N****  (MP, 20kw cap @ 40F)",,,,,
,,107,26,LochinvarAHP125MP,;,,"Lochinvar AHP125-*-***N****  (MP, 26kw cap @ 40F)",,,,,
,,108,41,LochinvarAHP185MP,;,,"Lochinvar AHP185-*-***N****  (MP, 41kw cap @ 40F)",,,,,
